title,author,year,status
Privacy-Preserving Data Aggregation in Wireless Sensor Networks,Chris Karlof,2007,Verified
Matrix Factorization Techniques for Recommender Systems,Yehuda Koren,2009,Verified
Collaborative Filtering for Implicit Feedback Datasets,"Yifan Hu, Yehuda Koren, Chris Volinsky",2008,Verified
A Survey of Collaborative Filtering Techniques,"John S. Breese, David Heckerman, Carl Kadie",1998,Verified
Deep Neural Networks for YouTube Recommendations,"Paul Covington, Jay Adams, Emre Sargin",2016,Verified
Factorization Machines,Steffen Rendle,2010,Verified
A Matrix Factorization Technique with Trust Propagation for Recommendation in Social Networks,Paolo Massa and Paolo Avesani,2007,Verified
Deep Learning Based Recommender System: A Survey and New Perspectives,"Shuai Zhang, Lina Yao, and Aixin Sun",2019,Verified
Neural Collaborative Filtering,"Xiangnan He, Lizi Liao, Hanwang Zhang, Liqiang Nie, Xia Hu, and Tat-Seng Chua",2017,Verified
Self-Attentive Sequential Recommendation,"Fei Sun, Jun Liu, Jian Wu, Changhua Pei, Xiao Lin, Wenwu Ou, Peng Jiang",2019,Verified
Recommender Systems Handbook,"Francesco Ricci, Lior Rokach, and Bracha Shapira",2015,Verified
Factorization Machines with libFM,Steffen Rendle,2012,Verified
Deep Learning based Recommender System: A Survey and New Perspectives,"Shuai Zhang, Lina Yao, Aixin Sun, and Yi Tay",2019,Verified
Content-Based Recommendation Systems,Michael J. Pazzani and Daniel Billsus,2007,Verified
Hybrid Recommender Systems: Survey and Experiments,Robin Burke,2002,Verified
Wearable Devices in Health Care: Privacy and Information Security Issues,M. Hassanalieragh et al.,2015,Verified
"A Survey on Wearable Technology: History, State-of-the-Art and Current Challenges",S. Patel et al.,2012,Verified
Wearable Sensors: Opportunities and Challenges for Low-Cost Health Care,J. P. Bonato,2010,Verified
Wearable Sensors for Remote Health Monitoring,S. Chen,2022,Verified
Wearable Devices and Their Implementation in Various Domains,"Patel, S., Park, H., Bonato, P., Chan, L., and Rodgers, M.",2012,Verified
Deep Learning with Edge Computing: A Review,Fei Jiang,2019,Verified
Efficient and Scalable Deep Learning Inference on Edge Devices,Jianyi Yang et al.,2019,Verified
Resource Management in Edge AI: A Comprehensive Survey,X. Xu et al.,2022,Verified
Edge AI: Convergence of Edge Computing and Artificial Intelligence,Shaolei Ren et al.,2020,Verified
